# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
T细胞介导的超敏反应是|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|速发型超敏反应|D
花生四烯酸可通过环氧合酶途径合成的物质是|PAF|CTS|PGD2|DAG|IP3|C
能使胎儿Rh+红细胞发生溶解破坏的抗体是|免疫抗体IgM|天然抗体IgM|单价免疫IgG|双价免疫IgG|亲细胞性IgE|D
下列与I型超敏反应的发生有关的是|补体依赖的细胞毒作用|肥大细胞脱颗粒|IC沉积激活补体|CD4+T细胞介导的炎症反应|特异性免疫无应答性|B
可被动转移I型超敏反应的成分是|致敏淋巴细胞|患者的血清|特异性转移因子|生物活性介质|特异性IgE形成细胞|B
花生四烯酸可通过脂氧合酶途径合成的物质是|PAF|PGD2|LTs|DAG|IP3|C
羟基化磷脂在磷脂酶A2和乙酰转移酶作用生成的物质是|DAG|IP3|PAF|PIP2|PC|C
关于IV型超敏反应正确的是|以中性粒细胞浸润为主的炎症|抗原注入后4小时达到反应高峰|补体参与炎症的发生|能通过血清Ig被动转移|以单个核细胞浸润为主的炎症|E
下列属于IV型超敏反应的是|过敏性休克|血清病|类风湿性关节炎|结核菌素皮肤试验阳性|系统性红斑狼疮|D
下列疾病属于免疫复合物型超敏反应的是|过敏性休克|特应性皮炎|新生儿溶血症|链球菌感染后肾小球肾炎|肺出血肾炎综合征|D
可被动转移IV型超敏反应的成分是|巨噬细胞|淋巴细胞|血清Ig|血清补体|中性粒细胞|B
可引起III型超敏反应物质是|细胞因子|单核吞噬细胞|补体|免疫球蛋白|免疫复合物|E
属于I型超敏反应的疾病是|新生儿溶血症|系统性红斑狼疮性肾炎|接触性皮炎|自身免疫性疾病|青霉素过敏性休克|E
属于II型超敏反应的疾病是|新生儿溶血症|系统性红斑狼疮|血清病|接触性皮炎|青霉素过敏性休克|A
属于III型超敏反应的疾病是|新生儿溶血症|输血反应|血清病|接触性皮炎|青霉素过敏性休克|C
属于IV型超敏反应的疾病是|新生儿溶血症|支气管哮喘|血清病|接触性皮炎|青霉素过敏性休克|D
抗体介导的超敏反应有|I、II、IV型超敏反应|I、II、III型超敏反应|I、II、V型超敏反应|II、III、IV型超敏反应|II、III型超敏反应|B
变应原为半抗原引起的疾病是|系统性红斑狼疮|农民肺|青霉素治疗后发生溶血性贫血|风湿性关节炎|对移植肾的排斥反应|C
预防Rh血型不合的新生儿血症的方法是|用抗Rh血清给新生儿进行人工被动免疫|给胎儿输入母亲的红细胞|用过量的抗原中和母亲的抗Rh球蛋白|用免疫抑制剂抑制母体产生抗Rh抗体|分娩72小时内给产妇注射抗Rh免疫血清|E
不能引起肥大细胞和嗜碱性粒细胞脱颗粒的因素是|细胞表面IgE与多价Ag结合|C3a、C5a|植物凝集素与细胞上IgE分子结合|IgE与单价Ag结合|抗FcεR抗体|D
脱敏治疗可用于|冷空气过敏|食物过敏|血清病|接触性皮炎|血清过敏症|E
免疫复合物沉积引起血管炎的主要原因是|组胺和白三烯的释放|攻膜复合体的形成|细胞毒性T细胞的作用|细胞因子的作用|多形核白细胞溶酶体酶的作用|E
II型超敏反应的发生机制是|M直接吞噬靶细胞|CTL特异性杀伤靶细胞|补体依赖的细胞毒|中性粒细胞释放溶酶体酶|嗜酸性粒细胞介导的ADCC|C
青霉素可以引起的超敏反应是|I、II型超敏反应|I、II、III型超敏反应|II、IV型超敏反应|I、II、III、IV型超敏反应|I、II、IV型超敏反应|D
可诱发血清病的因素是|存在抗肾小球基底膜抗体|大量IgE产生|补体水平升高|中等大小可溶性免疫复合物形成|巨噬细胞功能亢进|D
下列不属于迟发型超敏反应的是|接触性皮炎|干酪性肺炎|移植排斥反应|血清病|结核菌素皮肤试验阳性|D
引起Arthus反应的主要原因是|TDTH释放的淋巴因子的作用|单个核细胞浸润引起的炎症|肥大细胞脱颗粒|IgE抗体大量产生|IC引起的补体活化|E
引起II型超敏反应组织损伤的主要细胞是|M|血小板|淋巴细胞|嗜中性粒细胞|NK细胞|D
下列与免疫复合物性疾病发生无关的因素是|血管活性物质的释放|免疫复合物在血管壁沉积|激活补体活化产生大量C3a、C5a|大量IC形成|大量淋巴细胞局部浸润|E
下列超敏反应性疾病发生无补体参与的是|溶血性贫血|重症肌无力|肾小球肾炎|血清过敏症|血小板减少性紫癜|D
不属于I型超敏反应预先已合成介质的是|组胺|蛋白水解酶|NCF|ECF-A|PAF|E
下列与II型超敏反应炎症无关的是|中性蛋白水解酶|激肽形成酶|IL-4|胶原酶|血管活性胺类物质|C
一般不引起迟发型超敏反应的物质是|豕草花粉|油漆|化妆品|青霉素|结核菌素|A
下列与I型超敏反应无关的是|组胺|备解素|激肽|白三烯|前列腺素|B
I型超敏反应的重要病理学特征是|巨噬细胞浸润|淋巴细胞浸润|嗜酸性粒细胞浸润|中性粒细胞浸润|红细胞浸润|C
与II型超敏反应发生无关的是|补体|吞噬细胞|肥大细胞|IgG|IgM|C
下列不属于免疫复合物病的是|自身免疫性溶血性贫血|链球菌感染后肾小球肾炎|血清病|血管炎|Arthus反应|A
与农民肺无关的是|特异性IgG介导|局部Arthus反应|激活补体是炎症损伤的主要原因|嗜热放线菌为常见的变应原|注射局部可出现干酪性病变|E
关于I型超敏反应皮肤试验下列错误的是|一般在15~20分钟观察结果|局部皮肤有丘疹,周围有红晕|组织改变为局部水肿、充血|可检测引起I型超敏反应的变应原|可有单个核细胞浸润|E
儿童早期接触微生物|增加哮喘发生的危险率|降低哮喘发生的危险率|益于Thl细胞分化及相关细胞因子的产生|减少Th2细胞分化及相关细胞因子的产生|增加IgE的类别转换|B
同哮喘和湿疹发生非密切相关的遗传因素是|编码FcεRI的基因|编码IL-4的基因|编码IL-13的基因|编码IL-12的基因|编码FcγRIII的基因|A
与诱发慢性哮喘无关的因素是|Th2细胞|嗜酸性粒细胞|IL-4|IFN-γ|嗜酸性粒细胞趋化因子|D
某患者,近3年来,每年7月份不知原因出现大量流清鼻涕,经常夜里因鼻塞、流涕、呼吸困难以致不能正常睡眠。应首先考虑的疾病是|支气管哮喘|过敏性鼻炎|鼻窦炎|肺内感染|扁桃体肿大|B
某患者,近8个月来,周身多处反复出现出血性皮疹,经用糖皮质激素类药物治疗皮疹可消失,停药后复发。血常规检查血小板明显减少,骨髓穿刺检查正常。初步诊断为超敏反应性疾病,你认为可能发生机制是|III型超敏反应|I型超敏反应|IV型超敏反应|II型超敏反应|II型超敏反应和III型超敏反应|D
青霉素过敏性休克|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|非超敏反应|A
Arthus反应|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|非超敏反应|C
新生儿溶血病|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|非超敏反应|B
传染性变态反应|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|非超敏反应|D
属于I型超敏反应|类风湿关节炎|支气管哮喘|输血反应|麻风病皮肤肉芽肿|普通感冒|B
属于II型超敏反应|类风湿关节炎|支气管哮喘|输血反应|麻风病皮肤肉芽肿|普通感冒|C
属于III型超敏反应|类风湿关节炎|支气管哮喘|输血反应|麻风病皮肤肉芽肿|普通感冒|A
属于IV型超敏反应|类风湿关节炎|支气管哮喘|输血反应|麻风病皮肤肉芽肿|普通感冒|D
与I型超敏反应有关|补体依赖的细胞毒作用|肥大细胞脱颗粒|免疫复合物沉积激活补体|TDTH释放细胞因子|特异性免疫无应答|B
与II型超敏反应有关|补体依赖的细胞毒作用|肥大细胞脱颗粒|免疫复合物沉积激活补体|TDTH释放细胞因子|特异性免疫无应答|A
与III型超敏反应有关|补体依赖的细胞毒作用|肥大细胞脱颗粒|免疫复合物沉积激活补体|TDTH释放细胞因子|特异性免疫无应答|C
与IV型超敏反应有关|补体依赖的细胞毒作用|肥大细胞脱颗粒|免疫复合物沉积激活补体|TDTH释放细胞因子|特异性免疫无应答|D
类风湿关节炎检查出的抗体|天然血型抗体|抗核抗体|抗IV型胶原的抗体|类风湿因子|免疫血型抗体|D
协助诊断系统性红斑狼疮的抗体|天然血型抗体|抗核抗体|抗IV型胶原的抗体|类风湿因子|免疫血型抗体|B
引起新生儿溶血病的抗体|天然血型抗体|抗核抗体|抗IV型胶原的抗体|类风湿因子|免疫血型抗体|E
Goodpasture's syndrome的抗体|天然血型抗体|抗核抗体|抗IV型胶原的抗体|类风湿因子|免疫血型抗体|C
介导Graves病发生的主要抗体是|IgG|IgM|IgA|IgD|IgE|A
介导急性哮喘发生的主要抗体是|IgG|IgM|IgA|IgD|IgE|E
介导血型不合引起输血反应的主要抗体是|IgG|IgM|IgA|IgD|IgE|B
介导药物过敏性血细胞减少症的主要抗体是|IgG|IgM|IgA|IgD|IgE|A

---

# 第十九章 自身免疫病（纯|分隔·无题号·可直接导入）
题干|选项A|选项B|选项C|选项D|选项E|正确答案
有关自身免疫正确的是|机体对自身抗原不应答|产生自身抗体和/或自身反应性T细胞|导致组织损伤并引起临床症状|是对机体有害的免疫应答|健康个体不出现|B
关于自身抗体的正确说法是|检出自身抗体即可诊断患有自身免疫病|检出自身反应性T细胞即可诊断患自身免疫病|自身抗体有助于清除衰老变性的自身细胞|健康个体没有自身抗体产生|自身抗体都能导致组织损伤|C
自身免疫病是由于哪一项免疫功能损害所致|抗原呈递|免疫防御|免疫监视|免疫自稳|免疫调节|D
自身免疫病是由于哪项免疫功能异常所致|抗原识别|免疫防御|免疫监视|抗原提呈|免疫耐受|E
下列对自身抗体的论述哪一项正确|健康人血清中可存在|只有自身免疫病患者存在|为器官特异性|均为IgM型|通过I型超敏反应导致组织损伤|A
关于自身免疫病诱发因素的错误说法是|外伤不能引发自身免疫病|自身免疫病具有遗传倾向|性别和年龄与自身免疫病相关|某些药物可引起自身免疫病的发生|病原体感染可诱发自身免疫病|A
与自身免疫病发病相关因素的正确说法是|自身免疫病发病完全是由遗传因素决定的|自身免疫病发病与遗传因素无关|自身免疫病完全是由环境因素决定的|自身免疫病与环境因素无关|某些自身免疫病与特定的HLA型别相关联|E
下列哪些抗原因素与自身免疫病诱发机制无关|表位扩展|自身抗原的改变|隐蔽抗原的释放|分子模拟|抗原基因突变|E
下列不属于隐蔽抗原的是|精子|组织相容性抗原|脑组织|睾丸|眼晶状体|B
交感性眼炎的主要致病机理是由于|分子模拟|表位扩展|隐蔽抗原的释放|自身抗原被修饰|超抗原激活|C
药物引起的自身免疫性溶血性贫血的原因是|药物诱导红细胞基因突变,产生新抗原|药物吸附红细胞表面,形成新的抗原表位|药物与红细胞有相同的抗原决定簇|药物可多克隆激活B细胞|药物抑制Treg细胞活性|B
刺激机体产生类风湿因子的抗原是|变性IgA|变性IgM|变性IgG|变性IgE|变性IgD|C
类风湿因子是针对|细菌表面抗原的IgM类抗体|变性的胶原蛋白的IgG类抗体|变性的IgG的IgM类抗体|dsDNA的IgG类抗体|热休克蛋白的IgG类抗体|C
超抗原引起自身免疫病的机制是|隐蔽抗原的释放|自身抗原的改变|交叉抗原的存在|免疫忽视的打破|分子模拟|D
柯萨奇病毒感染引发糖尿病的主要机制是|隐蔽抗原的释放|表位扩展|免疫忽视|分子模拟|自身抗原改变|D
风湿性心脏病的发病机制主要与下列哪一项有关|免疫隔离部位抗原的释放|分子模拟|表位扩展|免疫忽视的打破|自身抗原的改变|B
A群乙型溶血性链球菌感染后引起肾小球肾炎是由于|链球菌与肾小球基底膜具有相似表位|促进隐蔽抗原的释放|免疫功能缺陷|自身抗原的改变|免疫调节功能异常|A
发生机制主要与分子模拟有关的疾病是|风湿性心脏病|重症肌无力|交感性眼炎|药物诱发的自身免疫溶血性贫血|睾丸外伤后的不育症|A
发生机制主要与表位扩展有关的疾病是|风湿性心脏病|系统性红斑狼疮|自身交感性眼炎|Graves病|药物引起的自身免疫性溶血性贫血|B
Graves病患者血清中存在的自身抗体是|抗TSHR抗体|抗TSH抗体|抗内因子抗体|抗胰岛素受体抗体|抗乙酰胆碱受体抗体|A
重症肌无力的自身抗原是|平滑肌|乙酰胆碱受体|胰岛素受体|细胞核|血小板|B
引起自身免疫性肾小球肾炎的抗原主要是|链球菌M蛋白|SPA|肺炎球菌荚膜多糖|PPD|LPS|A
与I型糖尿病相关的是|HLA-DR3/DR4|HLA-DR5|HLA-B7|HLA-B27|HLA-DQ|A
携带DR5的个体易患哪一种自身免疫病|类风湿性关节炎|重症肌无力|多发性硬化症|桥本甲状腺炎|系统性红斑狼疮|D
自身免疫病的组织损伤机制包括|I、II、III型超敏反应|II、III、IV型超敏反应|III、IV型超敏反应|I、II、IV型超敏反应|II、III型超敏反应|B
胰岛素依赖型糖尿病的主要发生机制是|I型超敏反应|II型超敏反应|III超敏反应|IV型超敏反应|以上都不是|D
主要由III型超敏反应引起的自身免疫性疾病的是|自身免疫性溶血性贫血|毒性弥漫性甲状腺肿|重症肌无力|系统性红斑狼疮|胰岛素依赖型糖尿病|D
由IV型超敏反应引起的自身免疫性疾病是|自身免疫性溶血性贫血|毒性弥漫性甲状腺肿|重症肌无力|系统性红斑狼疮|胰岛素依赖型糖尿病|E
下列不属于自身免疫病免疫学特征的是|患者血液中含有高效价的自身抗体或自身反应性淋巴细胞|通过血清或淋巴细胞可以被动转移疾病|病情转归与自身免疫应答的强度相关|患者或患病动物病变组织中有Ig沉积或淋巴细胞浸润|使用免疫抑制剂无效|E
下列哪一项是器官特异性自身免疫病|系统性红斑狼疮|类风湿关节炎|Graves' disease|胆囊炎|支气管哮喘|C
下列属自身免疫病的是|艾滋病|白血病|多发性骨髓瘤|乙型脑炎|胰岛素依赖型糖尿病|E
下列哪种疾病不属于自身免疫病|SLE|溃疡性结肠炎|重症肌无力|荨麻疹|甲状腺功能亢进症|D
血清中检出高效价抗核抗体多见于|多发性骨髓瘤|系统性红斑狼疮|自身免疫性溶血性贫血|甲状腺肿大|重症肌无力|B
环孢素A治疗自身免疫病的机制是|抑制IL-2基因的信号转导|抑制CD28的表达|阻断抗原和抗体的结合|抑制抗原呈递|降低自身抗原含量|A
恶性贫血的自身抗原是|红细胞|变性IgG|细胞核成分|内因子|促甲状腺素受体|D
SLE的自身抗原是|红细胞|变性IgG|细胞核成分|内因子|促甲状腺素受体|C
类风湿关节炎的自身抗原是|红细胞|变性IgG|细胞核成分|内因子|促甲状腺素受体|B
Graves病的自身抗原是|红细胞|变性IgG|细胞核成分|内因子|促甲状腺素受体|E
自身免疫性溶血性贫血的自身抗原是|红细胞|变性IgG|细胞核成分|内因子|促甲状腺素受体|A
属于器官特异性AID|SLE|青少年型胰岛素依赖型糖尿病|原发性胆汁性肝硬化|甲型肝炎|胆囊炎|B
属于全身性AID|SLE|青少年型胰岛素依赖型糖尿病|原发性胆汁性肝硬化|甲型肝炎|胆囊炎|A
肺出血-肾炎综合征的病理损伤的主要机制是|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|以上都不是|C
多发性硬化症的病理损伤的主要机制是|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|以上都不是|D
自身免疫性溶血性贫血的病理损伤机制是|I型超敏反应|II型超敏反应|III型超敏反应|IV型超敏反应|以上都不是|B
属于隐蔽抗原的是|精子|大肠杆菌014|类风湿因子|髓磷脂碱性蛋白|溶血性链球菌|A
与多发性硬化症有关的抗原是|精子|大肠杆菌014|类风湿因子|髓磷脂碱性蛋白|溶血性链球菌|D
与类风湿关节炎有关的是|精子|大肠杆菌014|类风湿因子|髓磷脂碱性蛋白|溶血性链球菌|C
与肾小球基膜成分有交叉抗原的是|精子|大肠杆菌014|类风湿因子|髓磷脂碱性蛋白|溶血性链球菌|E
柯萨奇病毒感染引发糖尿病的机制是|免疫隔离部位抗原释放|自身抗原改变|分子模拟|表位扩展|打破免疫忽视|C
外伤引起的交感性眼炎的机制是|免疫隔离部位抗原释放|自身抗原改变|分子模拟|表位扩展|打破免疫忽视|A
细菌超抗原引发AID可能相关的因素是|免疫隔离部位抗原释放|自身抗原改变|分子模拟|表位扩展|打破免疫忽视|E
肺炎支原体感染后引起红细胞破坏的机制是|免疫隔离部位抗原释放|自身抗原改变|分子模拟|表位扩展|打破免疫忽视|B
与恶性贫血有关的是|抗胰岛细胞抗体|抗胰岛素受体抗体|抗促甲状腺激素受体抗体|抗乙酰胆碱受体抗体|抗内因子抗体|E
与毒性弥漫性甲状腺肿有关的是|抗胰岛细胞抗体|抗胰岛素受体抗体|抗促甲状腺激素受体抗体|抗乙酰胆碱受体抗体|抗内因子抗体|C
与胰岛素依赖性糖尿病有关的是|抗胰岛细胞抗体|抗胰岛素受体抗体|抗促甲状腺激素受体抗体|抗乙酰胆碱受体抗体|抗内因子抗体|A
与重症肌无力有关的是|抗胰岛细胞抗体|抗胰岛素受体抗体|抗促甲状腺激素受体抗体|抗乙酰胆碱受体抗体|抗内因子抗体|D
# 第二十一章 感染免疫（纯|分隔·无题号·可直接导入）
题干|选项A|选项B|选项C|选项D|选项E|正确答案
机体抗胞外菌免疫主要依赖于|细胞免疫|体液免疫|天然免疫|获得性免疫|巨噬细胞|B
对巨噬细胞的高活化最终导致肉芽肿的形成发挥关键作用的细胞因子是|IL-2|IL-5|IL-10|TNF-α|IFN-γ|E
HPV疫苗的接种有效减少了哪一种癌症的发生|乳腺癌|宫颈癌|肾癌|前列腺癌|肝癌|B
机体抗胞内菌主要依赖于|细胞免疫|体液免疫|天然免疫|获得性免疫|补体|A
胞外菌逃避补体攻击的策略错误的是|失活补体级联反应过程中各个环节|诱导宿主产生同种型抗体,使之不能激活补体|俘获宿主RCA蛋白|通过表面蛋白的空间位阻现象以及降解C3b来阻止C3b与细菌的结合|分泌抗Ig的蛋白酶|E
在抗胞内菌免疫中,活化的NK细胞通过分泌哪种细胞因子促进巨噬细胞活化、间接促进Th1细胞分化|IFN-γ|IL-2|IL-4|IL-10|TNF-α|A
在机体抗病毒免疫中发挥重要作用的细胞因子是|CSF|TNF|IFN|IL|GF|C
下列关于病毒逃避补体攻击的策略错误的是|阻断转化酶的形成|表达病毒性的宿主RCA蛋白类似物|提高宿主RCA蛋白的表达|出芽到宿主细胞膜,获取宿主RCA蛋白|阻断IFN-γ分泌|E
机体抗病毒免疫的主力是|体液免疫|细胞免疫|皮肤的屏障作用|补体|抗体|B
机体抗原生动物寄生虫免疫的关键Th细胞类型是|Th1|Treg|Tfh|Th2|Th17|A
寄生虫逃避T细胞杀伤的策略不包括|促进IL-10产生来抑制Th1应答|降低IL-12与IFN-γ的产生来抑制Th1应答|分泌可诱导T细胞低反应或耐受的蛋白|干预DC的成熟和巨噬细胞的活化|阻止呼吸爆发|E
卡氏肺囊虫属于哪种类型的病原体|胞外菌|病毒|胞外菌|真菌|蠕虫|D
机体抗蠕虫寄生虫免疫的关键Th细胞类型是|Th1|Treg|Tfh|Th2|Th17|D
机体抗蠕虫Th2应答涉及的抗体类别是|IgA|IgD|IgE|IgG|IgM|C
关于宿主抗真菌免疫的叙述错误的是|抗体在防御真菌侵入机体中的作用十分有限|天然免疫在抗真菌中并不发挥主要作用|NK细胞在真菌细胞的杀伤中起重要作用|T细胞在黏膜抗真菌防御中可能起着重要的作用|嗜中性粒细胞和巨噬细胞均能执行其强大的嗜菌作用|B
机体抗真菌感染主要依赖于|细胞免疫|体液免疫|天然免疫|获得性免疫|抗体|C
内毒素性休克的主要原因是|革兰氏阴性菌导致的严重的炎症反应|革兰氏阴性菌引起的T细胞活化|革兰氏阴性菌导致补体的活化|抗革兰氏阴性菌抗体的产生|巨噬细胞的过度活化|A
患者,女性,20岁。主诉:阴道接触性出血半年多。宫颈病理活检提示宫颈鳞癌,此类患者最可能的发病原因|HIV感染|持续性的HBV感染|EBV感染|持续性的L.major感染|持续性的HPV感染|E
某青年女性性关系紊乱,咨询接种哪种疫苗以预防宫颈癌|HBV疫苗|HPV疫苗|卡介苗|百白破疫苗|牛痘|B
患者,男性,45岁。初诊为肺结核,可检测哪种微生物以辅助诊断|结核分枝杆菌|伤寒杆菌|弗氏志贺菌|嗜肺性军团杆菌|伤寒杆菌|A
患者,男性,49岁。尿频、尿急、尿痛3年余,右侧附睾破溃4月余,初诊结核抗体阳性,结核感染T细胞检测结果阳性,应考虑|附睾结核|肾炎|肾癌|肾结石|膀胱癌|A
患者,男性,28岁。同性恋者,因咳嗽、发热就诊。临床考虑为肺部感染,积极的抗生素治疗和抗结核治疗无效,行肺部穿刺活检后,发现了肺部病变是卡波西肉瘤。应考虑|CMV感染|HCV感染|HIV感染|HSV感染|MV感染|C
某乙型肝炎患者,男性,25岁,HIV感染者,肺部活检显示卡波西肉瘤。出现肉瘤的最可能原因|HIV感染破坏了免疫功能|HBV感染影响了免疫功能|HBV感染影响了肝脏功能|HIV感染影响了肝脏功能|HIV感染造成了自身免疫性疾病|A
患者,男性,50岁,鼻腔出血加重5月,伴耳鸣,头痛。颈淋巴结肿大,鼻咽部及颈部肿大淋巴结取活体组织病理检查,诊断为鼻咽癌。最可能与下列哪个因素有关|CMV|EBV|HBV|HSV|KSHV|B
金黄色葡萄球菌感染可引起|炭疽|破伤风|白喉|溃疡|中毒性休克|E
炭疽芽孢杆菌感染可引起|炭疽|破伤风|白喉|溃疡|中毒性休克|A
破伤风梭菌感染可引起|炭疽|破伤风|白喉|溃疡|中毒性休克|B
幽门螺旋杆菌感染可引起|炭疽|破伤风|白喉|溃疡|中毒性休克|D
白喉棒状杆菌感染可引起|炭疽|破伤风|白喉|溃疡|中毒性休克|C
SARS(严重急性呼吸器官综合征)病毒感染可致|获得性免疫缺陷综合征(AIDS)|生殖器疣|流感|狂犬病|严重急性呼吸器官综合征|E
人类免疫缺陷病毒感染可致|获得性免疫缺陷综合征(AIDS)|生殖器疣|流感|狂犬病|严重急性呼吸器官综合征|A
狂犬病病毒感染可致|获得性免疫缺陷综合征(AIDS)|生殖器疣|流感|狂犬病|严重急性呼吸器官综合征|D
流感病毒感染可致|获得性免疫缺陷综合征(AIDS)|生殖器疣|流感|狂犬病|严重急性呼吸器官综合征|C
人类乳头状瘤病毒感染可致|获得性免疫缺陷综合征(AIDS)|生殖器疣|流感|狂犬病|严重急性呼吸器官综合征|B
与宫颈癌发病有关的病原体是|EBV|HCV和HBV|HPV|HIV|HTLV-1|C
与鼻咽癌发病有关的病原体是|EBV|HCV和HBV|HPV|HIV|HTLV-1|A
与原发肝癌发病有关的病原体是|EBV|HCV和HBV|HPV|HIV|HTLV-1|B
与成人T细胞白血病发病有关的病原体是|EBV|HCV和HBV|HPV|HIV|HTLV-1|E
与获得性免疫缺陷有关的病原体是|EBV|HCV和HBV|HPV|HIV|HTLV-1|D
与麻风病有关的病原体是|Th1|Th2|Th17|Th9|麻风分枝杆菌|E
易患破坏性麻风病的患者的优势应答是|Th1|Th2|Th17|Th9|麻风分枝杆菌|B
易患不太严重的麻风病,即结核样麻风病的患者其优势应答是|Th1|Th2|Th17|Th9|麻风分枝杆菌|A

---

# 第二十二章 肿瘤免疫（纯|分隔·无题号·可直接导入）
题干|选项A|选项B|选项C|选项D|选项E|正确答案
AFP属于|致癌病毒产物|基因突变产物|正常组织中的隐蔽抗原|胚胎抗原|分化抗原|D
CEA属于|致癌病毒产物|突变的抑癌基因产物|肿瘤睾丸抗原|胚胎抗原|分化抗原|D
病毒诱生的肿瘤抗原多属于|肿瘤特异性抗原|肿瘤相关抗原|肿瘤睾丸抗原|胚胎抗原|分化抗原|A
理化因素诱生的肿瘤抗原多属于|肿瘤特异性抗原|肿瘤相关抗原|正常组织中的隐蔽抗原|胚胎抗原|分化抗原|A
HPV诱发人宫颈癌的E6和E7抗原属于|突变的抑癌基因所表达的蛋白抗原|病毒肿瘤相关抗原|正常组织中的隐蔽抗原|胚胎抗原|分化抗原|B
CD20属于|致癌病毒产物|肿瘤特异性抗原|正常组织中的隐蔽抗原|胚胎抗原|分化抗原|E
第一个被批准用于临床治疗非霍奇金淋巴瘤的单克隆抗体的靶分子是|CD20|CD40|CD19|CD4|CD8|A
PSA属于|致癌病毒产物|基因突变产物|肿瘤睾丸抗原|胚胎抗原|分化抗原|E
PSA主要用于诊断|宫颈癌|乳腺癌|黑色素瘤|肝癌|前列腺癌|E
AFP主要用于诊断|宫颈癌|乳腺癌|黑色素瘤|肝癌|前列腺癌|D
胚胎抗原是|肿瘤特异性抗原|肿瘤相关抗原|化学因素诱发的肿瘤抗原|物理因素诱发的肿瘤抗原|病毒诱发的肿瘤抗原|B
人乳头状瘤病毒(HPV)与下列哪种肿瘤的发生有关|宫颈癌|乳腺癌|黑色素瘤|肝癌|前列腺癌|A
人嗜T淋巴细胞病毒1(HTLV-1)可导致下列哪种肿瘤的发生|宫颈癌|乳腺癌|黑色素瘤|成人T细胞白血病|前列腺癌|D
在我国HBV疫苗的接种有效减少了哪一种肿瘤的发生|宫颈癌|乳腺癌|黑色素瘤|肝癌|前列腺癌|D
免疫系统对于自身体内产生的AFP和CEA|能够产生强烈的免疫应答|能够产生中等程度免疫应答|能够产生比较弱的免疫应答|具有免疫耐受性,一般不会产生免疫应答|免疫系统不会接触到这些抗原,因而不会产生免疫应答|D
机体抗肿瘤免疫的主力是|体液免疫|细胞免疫|皮肤的屏障作用|肠道微生物菌群的作用|肿瘤坏死因子的杀瘤作用|B
下列关于肿瘤免疫的叙述错误的是|细胞免疫是机体抗肿瘤免疫的主力|抗体在抗肿瘤中并不发挥主要作用|NK细胞是抗肿瘤的第一道防线|γδT细胞一般不参与抗肿瘤免疫|嗜酸性粒细胞参与抗肿瘤作用|D
以下对NK细胞杀瘤有关叙述,错误的是|无特异性|无需预先活化,即可直接杀瘤|可依赖抗体通过ADCC方式杀瘤|依赖补体通过CDC方式杀瘤|无MHC限制性|D
CD4+Th主要通过下述途径参与抗肿瘤免疫|辅助CD8 CTL激活|产生溶菌酶杀瘤|直接吞噬肿瘤细胞|加工处理和提呈|通过Fas信号诱导肿瘤细胞凋亡|A
在肿瘤细胞特异性CTL增殖和分化中发挥最关键作用的细胞因子是|IL-1|IL-2|IL-3|IL-4|IFN|B
当肿瘤细胞不表达或低表达共刺激分子时,CD8+T细胞还需在下述哪种细胞的帮助下增殖分化为CTL|B细胞|树突状细胞|巨噬细胞|CD4+Th|浆细胞|D
具有抗肿瘤作用的CTL内含有下列哪种酶而发挥杀伤肿瘤细胞的作用|颗粒酶|溶菌酶|胰蛋白酶|淀粉酶|乙醛脱氢酶|A
参与ADCC杀肿瘤细胞的是|CTL细胞|树突细胞|γδT细胞|NK细胞|B细胞|D
参与特异性抗肿瘤作用的细胞有|CTL|NK细胞|中性粒细胞|嗜酸性粒细胞|巨噬细胞|A
在免疫系统发挥抗肿瘤免疫过程中,巨噬细胞|不具有抗肿瘤作用|只作为专职性APC提呈肿瘤抗原激活抗肿瘤免疫|只起到免疫抑制作用帮助肿瘤生长|具有抗肿瘤和促进肿瘤生长的双重作用|具有特异性杀伤肿瘤细胞的作用|D
在免疫系统发挥抗肿瘤免疫过程中,肿瘤患者体内自然产生的抗体|不具有抗肿瘤作用|只起到免疫抑制作用帮助肿瘤细胞生长的作用|只起到帮助肿瘤细胞转移的作用|具有抗肿瘤和促进肿瘤生长的双重作用|具有很强的特异性杀伤肿瘤细胞的作用|D
肿瘤发生的主要机制是|免疫防御功能的障碍|免疫监视功能的障碍|免疫自稳功能的障碍|免疫调节功能的障碍|免疫功能亢进|B
肿瘤细胞产生的免疫抑制性物质有|IL-4|IL-12|Fas|EGF|TGF-β|E
肿瘤细胞常高表达或分泌哪些分子|MHC I类分子|MHC II类分子|CD80|CD86|TGF-β、IL-10等免疫抑制分子|E
肿瘤细胞可主动诱导荷瘤机体产生下述细胞实现免疫逃逸|CD4+CD25+调节性T细胞(Treg)|CTL|γδT细胞|NK细胞|肥大细胞|A
