以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
HBV包膜上的S蛋白的成分是||HBsAg||HBsAg+PreS2Ag||PreS1Ag||PreS2Ag||HBsAg+PreS1Ag+PreS2Ag||A
HBV的核酸类型是||单正链RNA||单负链RNA||双链RNA||不完全双链环状DNA||分节段双链DNA||D
HBV的P基因编码的蛋白是||HBsAg||HBcAg||PreS1Ag||PreS2Ag||DNA聚合酶||E
不属于病毒结构蛋白的HBV蛋白是||HBsAg||HBcAg||HBeAg||PreS1Ag||PreS2Ag||C
目前已有疫苗可供预防的肝炎病毒包括||HAV、HBV、HCV||HAV、HBV、HDV||HBV、HCV、HEV||HAV、HCV、HDV||HCV、HDV、HEV||B
没有中和作用的肝炎病毒抗体是||抗-HAV||抗-PreS1||抗-PreS2||抗-HBs||抗-HDV||E
在乙型肝炎病人血清中不易检测到的抗原抗体成分是||HBsAg||HBeAg||HBcAg||抗-HBs||抗-HBc||C
对脂溶剂不敏感的病毒是||HAV||HBV||HCV||HDV||HSV||A
可在体外原代及传代细胞中增殖的病毒是||HAV||HBV||HCV||HDV||HEV||A
HBV的致病机制不包括||特异性CTL对感染肝细胞的直接杀伤作用||肝细胞凋亡||自身免疫介导的免疫病理损伤||I型超敏反应||III型超敏反应||D
与原发性肝细胞癌密切相关的病毒是||HAV||HBV||HIV||EBV||HSV-2||B
提示患者体内HBV处于复制状态,血清具有传染性的血清学指标是||HBsAg、抗-HBs||HBsAg+、抗-HBe+、抗HBc||HBsAg、HBeAg+抗HBc||HBsAg+、抗-HBs、抗HBc||抗-HBs、抗HBc||C
诊断慢性HDV感染的血清学指标是||HBsAg+||HBsAg+、抗HBS+||HBcAg+、抗-HDV+||HBeAg+、抗-HDV+||HBsAg+、抗-HDV+||E
机体对HBV产生免疫耐受可导致的结果是||急性肝炎||重型肝炎||慢性持续性肝炎||原发性肝癌||耐药性变异||C
HBV与一般DNA病毒不同之处是||含有DNA多聚酶||含有衣壳蛋白||病毒复制时在胞核内合成DNA,在胞质内合成蛋白质||DNA复制时有逆转录过程||基因组DNA可以整合到宿主细胞染色体DNA中||D
关于肝炎病毒及其所致疾病的叙述,错误的是||甲型肝炎一般为自限性疾病||乙型肝炎主要通过血源性传播||丙型肝炎病毒感染一般不易慢性化||丁型肝炎病毒可与HBV发生共感染||戊型肝炎病毒的传播途径与HAV相同||C
女性,30岁,因黄疸、腹胀、乏力2天入院,查体肝脏肋下两指、巩膜皮肤轻度黄染,实验室检查结果显示转氨酶明显升高,HBsAb(+)。患者无输血史,2周前曾外出与同乡聚会吃海鲜。你认为该患者应该进一步检查的指标是||HBV和HCV的抗原抗体检测||HAV和HEV的抗原抗体检测||HBV和HDV的抗原抗体检测||HAV和HCV的抗原抗体检测||HDV和HEV的抗原抗体检测||B
男性,48岁,12年前曾被诊断为慢性乙肝,近期化验结果为HBsAg(-)HBsAb(-),HBeAb(+),HBcAb(+),抗-HAV(-),抗-HCV(-),抗-HDV(-),抗-HEV(-),转氨酶明显升高,该患者最可能的情况是||对HBV具有免疫力||发生了HBV和HEV的合并感染||患者乙肝已经痊愈||病人感染的HBV发生了HBsAg变异||病人处于乙肝恢复期,具有较强的传染性||D
为中和抗体,能保护机体免受HBV感染的是||抗-HBe||抗-HBc IgG||抗-HBc IgM||抗-HBs||抗-PreC||D
提示HBV在体内处于复制状态(急性乙型肝炎或慢性乙肝急性发作)的抗体是||抗-HBe||抗-HBc IgG||抗-HBc IgM||抗-HBs||抗-PreC||C
孕妇感染后死亡率高的肝炎病毒是||HAV||HBV||HCV||HDV||HEV||E
复制时需要嗜肝DNA病毒辅助的病毒是||HAV||HBV||HCV||HDV||HEV||D
可用直接抗病毒药物治疗的病毒是||HAV||HBV||HCV||HDV||HEV||C
多感染儿童,以隐性感染为主的病毒是||HAV||HBV||HCV||HDV||HEV||A
可用灭活疫苗和减毒活疫苗来预防的是||HAV||HBV||HCV||HDV||HEV||A
在血清中不易检出的病毒抗原是||HBcAg||抗-HBc IgM||抗-HBs||HBeAg||HBsAg||A
判断HBV疫苗接种后免疫效果的检查指标是||HBcAg||抗-HBc IgM||抗-HBs||HBeAg||HBsAg||C
可中和HBV抵抗再感染的指标是||HBcAg||抗-HBc IgM||抗-HBs||HBeAg||HBsAg||C
感染HBV后血清中最先出现的血清学指标是||HBcAg||抗-HBc IgM||抗-HBs||HBeAg||HBsAg||E
可传播HBV、HCV和HDV的主要是||粪便||血液||鼻咽分泌物||脑脊液||尿液||B
可用免疫电镜检测HAV和HEV颗粒的标本是||粪便||血液||鼻咽分泌物||脑脊液||尿液||A
属于DNA病毒的肝炎病毒是||HAV||HBV||HCV||HDV||HEV||B
基因组最小的病毒是||HAV||HBV||HCV||HDV||HEV||D
目前能通过体外细胞培养连续传代减毒的病毒是||HAV||HBV||HCV||HDV||HEV||A
不能独立复制的病毒是||HAV||HBV||HCV||HDV||HEV||D
提示HBV在体内复制,传染性强的血清标志物是||HBsAg||HBcAg||HBeAg||HDAg||HEAg||C
用于制备HBV疫苗的主要抗原是||HBsAg||HBcAg||HBeAg||HDAg||HEAg||A
由前C基因和C基因共同编码的抗原是||HBsAg||HBcAg||HBeAg||HDAg||HEAg||C
可以在粪便中检测到的抗原是||HBsAg||HBcAg||HBeAg||HDAg||HEAg||E
存在于Dane颗粒表面||HBsAg||HBcAg||HBeAg||抗-HBs||抗-HBc||A
血清中不易检测到||HBsAg||HBcAg||HBeAg||抗-HBs||抗-HBc||B
对机体有保护性||HBsAg||HBcAg||HBeAg||抗-HBs||抗-HBc||D
由HBV的C基因编码产生||HBsAg||HBcAg||HBeAg||抗-HBs||抗-HBc||B
HBV包膜蛋白的主要成分是||HBsAg||HBcAg||HBeAg||PreS1蛋白||PreS2蛋白||A
HBV衣壳蛋白的主要成分是||HBsAg||HBcAg||HBeAg||PreS1蛋白||PreS2蛋白||B
HBV管型颗粒的主要成分是||HBsAg||HBcAg||HBeAg||PreS1蛋白||PreS2蛋白||A
与肝细胞表面受体结合的成分是||HBsAg||HBcAg||HBeAg||PreS1蛋白||PreS2蛋白||D
接种过乙肝疫苗或既往HBV感染者||仅血清HBsAg阳性||仅血清抗-HBc阳性||血清HBsAg、抗-HBe和抗-HBc均阳性||血清HBsAg、HBeAg和抗-HBc均阳性||仅血清抗-HBs阳性||E
表示HBV感染者已获得一定的免疫力,HBV复制能力减弱,传染性降低||仅血清HBsAg阳性||仅血清抗-HBc阳性||血清HBsAg、抗-HBe和抗-HBc均阳性||血清HBsAg、HBeAg和抗-HBc均阳性||仅血清抗-HBs阳性||C
HBV感染者或无症状携带者||仅血清HBsAg阳性||仅血清抗-HBc阳性||血清HBsAg、抗-HBe和抗-HBc均阳性||血清HBsAg、HBeAg和抗-HBc均阳性||仅血清抗-HBs阳性||A
可用逆转录酶抑制剂治疗的病毒病是||甲型肝炎||乙型肝炎||丙型肝炎||丁型肝炎||戊型肝炎||B
可用NS3/4A蛋白酶抑制剂治疗的病毒病是||甲型肝炎||乙型肝炎||丙型肝炎||丁型肝炎||戊型肝炎||C
预防原则与乙型肝炎相同的病毒病是||甲型肝炎||乙型肝炎||丙型肝炎||丁型肝炎||戊型肝炎||D
戊型肝炎病毒(HEV)的主要传播途径主要是||消化道传播||输血传播||虫媒传播||呼吸道传播||直接接触传播||A
丙型肝炎病毒(HCV)的主要传播途径主要是||消化道传播||输血传播||虫媒传播||呼吸道传播||直接接触传播||B
乙型脑炎病毒的主要传播途径主要是||消化道传播||输血传播||虫媒传播||呼吸道传播||直接接触传播||C
# 第二十九章 虫媒病毒
在我国,流行性乙型脑炎病毒的主要传播媒介是||库蚊||伊蚊||硬蜱||体虱||白蛉||A
给流行区的幼猪进行疫苗接种可以降低人群发病率的疾病是||流行性感冒||肾综合征出血热||乙型脑炎||登革热||脊髓灰质炎||C
主要通过伊蚊传播的病毒是||汉坦病毒||登革病毒||乙型脑炎病毒||森林脑炎病毒||发热伴血小板减少综合征病毒||B
感染后可获得牢固免疫力的病毒是||流感病毒||戊型肝炎病毒||丙型肝炎病毒||乙型脑炎病毒||登革病毒||D
可致自然疫源性疾病的病毒是||登革病毒||单纯疱疹病毒||戊型肝炎病毒||脊髓灰质炎病毒||轮状病毒||A
蚊是乙型脑炎病毒长期储存宿主的主要原因是||蚊可叮咬多种家畜或禽类||乙型脑炎病毒不会使蚊致病||乙型脑炎病毒在蚊体可形成病毒血症||蚊体可携带乙脑病毒越冬以及经卵传代||蚊可在动物与人体间传播乙型脑炎病毒||D
乙型脑炎的实验室早期诊断方法首选||病毒分离||中和试验||血凝抑制试验||补体结合试验||特异性IgM抗体测定||E
森林脑炎病毒的传播媒介是||白纹伊蚊||硬蜱||鼠蚤||体虱||白蛉||B
只有单一血清型,抗原性稳定的病毒是||登革病毒||乙型肝炎病毒||汉坦病毒||乙型脑炎病毒||流感病毒||D
寨卡病毒的传播媒介是||白纹伊蚊||三带喙库蚊||硬蜱||体虱||白蛉||A
男性,20岁,在广东省增城市务工两年,10月22日起出现高热,头痛、乏力伴肌肉酸痛三天入院,体查体温39°C,下肢及前胸皮肤可见较多红色斑丘疹,结膜充血,血常规示血小板轻度减少,肝肾功能正常。患者近半个月来无镇外活动史和野生动物接触史,无外来亲友探访,未接触过发热病人。根据你的判断,该患者应进一步做的检查是||登革病毒血清学检查||乙型脑炎病毒血清学检查||森林脑炎病毒血清学检查||钩端螺旋体血清学检查||汉坦病毒血清学检查||A
HIV可引起的疾病是||乙型脑炎||DHF||HFRS||AIDS||ATL||D
Dengue virus可引起的疾病是||乙型脑炎||DHF||HFRS||AIDS||ATL||B
Hantavirus可引起的疾病是||乙型脑炎||DHF||HFRS||AIDS||ATL||C
HTLV-1可引起的疾病是||乙型脑炎||DHF||HFRS||AIDS||ATL||E
JEV可引起的疾病是||乙型脑炎||DHF||HFRS||AIDS||ATL||A
依赖抗体增强感染的病毒是||森林脑炎病毒||Zika virus||Dengue virus||HIV||Ebola virus||C
可用Westernblot确诊感染的病毒是||森林脑炎病毒||Zika virus||Dengue virus||HIV||Ebola virus||D
死亡率极高的出血热病毒是||森林脑炎病毒||Zika virus||Dengue virus||HIV||Ebola virus||E
通过蜱叮咬传播的病毒是||森林脑炎病毒||Zika virus||Dengue virus||HIV||Ebola virus||A
孕妇感染后可引起胎儿先天性小头畸形的病毒是||森林脑炎病毒||Zika virus||Dengue virus||HIV||Ebola virus||B
预防乙型脑炎的重要措施是||标本与外周血单核细胞作共培养||对儿童进行计划免疫接种||ELISA检测血清中病毒NS1抗原||ELISA检测病毒的P24抗原||免疫荧光染色检测病毒抗原||B
可早期快速诊断登革热的方法是||标本与外周血单核细胞作共培养||对儿童进行计划免疫接种||ELISA检测血清中病毒NS1抗原||ELISA检测病毒的P24抗原||免疫荧光染色检测病毒抗原||C
提高HTLV分离的敏感性可用的方法是||标本与外周血单核细胞作共培养||对儿童进行计划免疫接种||ELISA检测血清中病毒NS1抗原||ELISA检测病毒的P24抗原||免疫荧光染色检测病毒抗原||A
确诊hantavirus感染培养细胞可用的方法是||标本与外周血单核细胞作共培养||对儿童进行计划免疫接种||ELISA检测血清中病毒NS1抗原||ELISA检测病毒的P24抗原||免疫荧光染色检测病毒抗原||E
早期诊断HIV感染可用的方法是||标本与外周血单核细胞作共培养||对儿童进行计划免疫接种||ELISA检测血清中病毒NS1抗原||ELISA检测病毒的P24抗原||免疫荧光染色检测病毒抗原||D
发热伴血小板减少综合征病毒的传播媒介是||蜱||蚊||人虱||恙螨||鼠蚤||A
流行性斑疹伤寒的传播媒介是||蜱||蚊||人虱||恙螨||鼠蚤||C
地方性斑疹伤寒的传播媒介是||蜱||蚊||人虱||恙螨||鼠蚤||E
西尼罗病毒的传播媒介是||蜱||蚊||人虱||恙螨||鼠蚤||B

# 第三十章 出血热病毒
不引起出血热的病毒是||汉坦病毒||登革病毒||黄热病病毒||狂犬病病毒||埃博拉病毒||D
肾综合征出血热的病原体是||汉坦病毒||克里米亚-刚果出血热病毒||登革病毒||埃博拉病毒||ECHO病毒||A
汉坦病毒的核酸类型是||单片段单负链RNA||多片段单负链RNA||单片段单正链RNA||多片段单正链RNA||双股RNA||B
关于汉坦病毒的描述正确的是||无包膜的单负链RNA病毒||主要通过虫媒传播||抵抗力强||在细胞内增殖一般不引起可见的细胞病变||不凝集鹅红细胞||D
肾综合征出血热的主要宿主动物和传染源为||鸟||猫||鼠||狗||牛||C
哪种途径不能传播汉坦病毒||呼吸道||消化道||携带病毒的蚊叮咬||胎盘传播||伤口||C
关于肾综合征出血热致病特点描述错误的是||典型的病例具有三大主症||病毒是发病的始动因素||可导致免疫病理损伤||I型和II型变态反应参与了发病||起病急,发病快,一般无潜伏期||E
关于汉坦病毒免疫性描述正确的是||人类对汉坦病毒普遍易感||多呈显性感染||病后免疫力不持久||中和抗体主要由病毒核衣壳蛋白刺激产生||机体主要依赖SIgA的保护||A
可通过哪种检验进行肾综合征出血热的早期诊断||免疫组化法检测抗原||中和试验检测中和抗体||血凝试验检测血凝现象||ELISA捕捉法检测特异性IgM抗体||血凝抑制试验检测抗体||D
关于克里米亚-刚果出血热的叙述哪项是正确的||由啮齿类动物传播||所致疾病与季节变化无关||是一种以硬为传播媒介的自然疫源性疾病||病后免疫力不牢固||主要通过消化道传播||C
患者,男,陕西省西安市户县人,11月在农田连续干农活,某晚突发高热,体温在39°C以上,脸色潮红,口服退烧药后体温缓慢下降,但自身感觉更加难受。入院3天后,体温仍在38~39°C之间,脸色和前胸潮红,头疼、眼眶疼痛,腋下和背部有明显的出血点;血常规和尿常规检查结果显示:白细胞升高,血小板降低,且有蛋白尿。引起该疾病的病原体最有可能是||登革病毒||麻疹病毒||流感病毒||汉坦病毒||乙型脑炎病毒||D
某患者已发病5天,发热,恶心、呕吐,食欲减退,头痛,四肢酸痛,腰痛,少尿。体检:重病容,球结膜充血,无水肿,咽充血,腋下可见点状抓痕样出血点,肝脾未及。血常规检查:WBC 12×10^9/L,N72%,L28%,可见异型淋巴细胞。尿常规:尿蛋白(++),该患者首先考虑的诊断为||钩端螺旋体病||败血症||肾综合征出血热||流行性脑脊髓膜炎||结核性脑膜炎||C
汉坦病毒的传播媒介是||蚊||蜱||蚤||鼠||虱||D
登革病毒的传播媒介是||蚊||蜱||蚤||鼠||虱||A
克里米亚-刚果出血热病毒的传播媒介是||蚊||蜱||蚤||鼠||虱||B
是由链球菌导致||鹦鹉热||波浪热||登革热||猩红热||回归热||D
是由螺旋体导致||鹦鹉热||波浪热||登革热||猩红热||回归热||E
是由衣原体导致||鹦鹉热||波浪热||登革热||猩红热||回归热||A
是由布鲁菌导致||鹦鹉热||波浪热||登革热||猩红热||回归热||B

# 第三十一章 疱疹病毒
疱疹病毒可引起潜伏感染,其特征之一是||原发感染后始终能检测到病毒||在原发感染及复发时均可检测到病毒,但在原发感染与复发的期间则检测不到病毒||感染后在出现临床症状时,检测不到病毒||原发感染时可检测到病毒,但复发时检测不到病毒||复发时能检测到病毒,但原发感染时检测不到病毒||B
某中年人出现了带状疱疹,提示其在儿童期可能患过||水痘||玫瑰丘疹||麻疹||皮炎||风疹||A
HSV-I和HSV-II常见的潜伏部位,分别为||脑神经的感觉神经节,运动神经||三叉神经节,脊髓后根神经节||三叉神经节,脑神经的感觉神经节||脑神经的感觉神经节,脊髓后根神经节||骶神经节,颈上神经节||B
VZV常见的潜伏部位为||运动神经||三叉神经节||脊髓后根神经节||外周神经||骶神经节||C
孕妇感染人巨细胞病毒后,常引起的疾病是||唇疱疹||带状疱疹||先天性畸形||病毒性心肌炎||传染性单核细胞增多症||C
EB病毒感染后主要潜伏于||T细胞||B细胞||CD4+细胞||巨噬细胞||树突状细胞||B
青春期初次感染大量EBV后,易发生的疾病时||唇疱疹||带状疱疹||病毒性脑炎||传染性单核细胞增多症||病毒性心肌炎||D
可引起婴儿玫瑰疹的疱疹病毒是||HHV-1||HHV-2||HHV-3||HHV-6||HHV-4||D
刚出生的新生儿血清中检测出抗CMV-IgM阳性,提示||该新生儿从母体获得该抗体||该新生儿被动获得抗CMV免疫力||该新生儿先天感染了CMV||新生儿在出生过程中自母体感染了CMV||接生的医护人员将CMV传给了新生儿||C
可导致胎儿畸形的病毒有||风疹病毒、CMV||VZV、腮腺炎病毒||乙型脑炎病毒、麻疹病毒||HBV、VZV||VZV、腮腺炎病毒||A
EBV感染可引起的相关疾病中不包括||鼻咽癌||传染性单核细胞增多症||非洲儿童恶性淋巴瘤||B细胞淋巴瘤||皮肤疱疹||E
能引起卡波西肉瘤的疱疹病毒是||HHV-5||HHV-2||HHV-6||HHV-8||HHV-7||D
控制疱疹病毒感染的关键免疫因素是||中和抗体||体液免疫||特异性T细胞免疫||NK细胞||树突状细胞||C
可通过性接触传播的疱疹病毒是||HSV- II、HHV-8||HSV-II、HHV-6||VZV、HHV-8||HSV-I、VZV||HHV-6、HHV-7||A
感染后,可潜伏在神经元中的疱疹病毒有||HHV-1、CMV、EBV||HHV-1、HHV-2、HHV-3||HHV-1、CMV、EBV||HHV-1、HHV-6、HHV-7||HHV-2、HHV-6、HHV-7||B
某大学生入学后不久出现发热、咽炎、颈淋巴结炎、肝脾肿大等,病程持续数周,临床检查结果显示:单核细胞和异形淋巴细胞增多,异嗜性抗体的阳性,诊断感染的胞疹病毒可能是||EBV||CMV||HHV-1||HHV-2||HHV-6||A
某孕妇发现CMV感染,担心胎儿可能感染该病毒,应检测||孕妇血清中的CMV-IgG||孕妇血清者中的CMV-IgM||羊水中CMV-IgG||羊水中CMV-IgM||羊水中的总IgG||D
潜伏于三叉神经节的是||单纯疱疹I型(HSV-I)||单纯疱疹II型(HSV-II)||水痘带状疱疹病毒(VZV)||巨细胞病毒(CMV)||EB病毒||A
潜伏于骶神经节的是||单纯疱疹I型(HSV-I)||单纯疱疹II型(HSV-II)||水痘带状疱疹病毒(VZV)||巨细胞病毒(CMV)||EB病毒||B
潜伏于脊髓后根神经节的是||单纯疱疹I型(HSV-I)||单纯疱疹II型(HSV-II)||水痘带状疱疹病毒(VZV)||巨细胞病毒(CMV)||EB病毒||C
与宫颈癌有关的病原体是||HHV-1||HHV-2||HHV-3||HHV-4||HHV-5||B
与水痘-带状疱疹有关的病原体是||HHV-1||HHV-2||HHV-3||HHV-4||HHV-5||C
与传染性单核细胞增多症有关的病原体是||HHV-1||HHV-2||HHV-3||HHV-4||HHV-5||D
与输血后单核细胞增多症有关的病原体是||HHV-1||HHV-2||HHV-3||HHV-4||HHV-5||E
与鼻咽癌有关的病原体是||EBV||VZV||CMV||HSV- II||HSV- I||A
与非洲儿童恶性淋巴瘤有关的病原体是||EBV||VZV||CMV||HSV- II||HSV- I||A
与角膜结膜炎有关的病原体是||EBV||VZV||CMV||HSV- II||HSV- I||E
单纯疱疹病毒-I型可引起||唇疱疹||生殖器疱疹||Burkitt淋巴瘤||水痘||巨细胞病毒病||A
单纯疱疹病毒-II型可引起||唇疱疹||生殖器疱疹||Burkitt淋巴瘤||水痘||巨细胞病毒病||B
巨细胞病毒可引起||唇疱疹||生殖器疱疹||Burkitt淋巴瘤||水痘||巨细胞病毒病||E
EB病毒可引起||唇疱疹||生殖器疱疹||Burkitt淋巴瘤||水痘||巨细胞病毒病||C
Kaposi肉瘤的病原体是||人疱疹病毒5型||人疱疹病毒6型||人疱疹病毒7型||人疱疹病毒8型||人疱疹病毒4型||D
幼儿急疹的病原体是||人疱疹病毒5型||人疱疹病毒6型||人疱疹病毒7型||人疱疹病毒8型||人疱疹病毒4型||B
巨细胞病毒病的病原体是||人疱疹病毒5型||人疱疹病毒6型||人疱疹病毒7型||人疱疹病毒8型||人疱疹病毒4型||A
Burkitt淋巴瘤的病原体是||人疱疹病毒5型||人疱疹病毒6型||人疱疹病毒7型||人疱疹病毒8型||人疱疹病毒4型||E
EBV可引起||传染性单核细胞增多症||B细胞淋巴瘤||慢性CD4+细胞淋巴瘤||带状疱疹||生殖器疱疹||A
VZV可引起||传染性单核细胞增多症||B细胞淋巴瘤||慢性CD4+细胞淋巴瘤||带状疱疹||生殖器疱疹||D
HSV-II可引起||传染性单核细胞增多症||B细胞淋巴瘤||慢性CD4+细胞淋巴瘤||带状疱疹||生殖器疱疹||E
α疱疹病毒||宿主范围广,可在感染神经节内形成潜伏感染||宿主范围窄,可引起感染细胞形成巨细胞||宿主范围最窄,感染的靶细胞主要是B细胞||宿主范围最广,可在细胞内长期潜伏||目前尚未发现在人类有宿主细胞||A
β疱疹病毒||宿主范围广,可在感染神经节内形成潜伏感染||宿主范围窄,可引起感染细胞形成巨细胞||宿主范围最窄,感染的靶细胞主要是B细胞||宿主范围最广,可在细胞内长期潜伏||目前尚未发现在人类有宿主细胞||B
γ疱疹病毒||宿主范围广,可在感染神经节内形成潜伏感染||宿主范围窄,可引起感染细胞形成巨细胞||宿主范围最窄,感染的靶细胞主要是B细胞||宿主范围最广,可在细胞内长期潜伏||目前尚未发现在人类有宿主细胞||C

# 第三十二章 逆转录病毒
逆转录病毒复制的特点是||病毒的基因组是DNA||病毒基因组是分节段RNA||病毒复制利用病毒的RNA依赖RNA聚合酶||病毒复制过程中,以病毒基因组RNA为模板合成DNA复制中间体后再转录为RNA||病毒复制过程中,以病毒基因组RNA模板直接合成RNA||D
属于RNA肿瘤病毒的是||HIV||HBV||EBV||HSV||HTLV||E
含有逆转录酶的病毒是||HIV||HCV||HPV||HSV||EBV||A
HIV编码衣壳蛋白的基因是||pol||env||gag||rev||nef||C
HIV编码逆转录酶的基因是||pol||env||gag||rev||nef||A
HIV基因组中编码gp120糖蛋白的基因是||pol||env||gag||rev||nef||B
HIV最易发生变异的基因是||pol||env||gag||rev||nef||B
与靶细胞CD分子结合的HIV病毒颗粒表面蛋白是||gp120||gp41||gp160||p24||p17||A
HIV主要感染的细胞是||CD4+ T淋巴细胞||CD8+ T淋巴细胞||单核-巨噬细胞||中性粒细胞||B淋巴细胞||A
HIV的主要传播途径是||粪-口途径传播||间接接触||输血和性接触||蚊虫叮咬||呼吸道传播||C
致成人T淋巴细胞白血病的病原体是||HTLV-2||HIV-1||HIV-2||HTLV-1||HPV||D
临床检查HIV感染者/AIDS病人的初筛方法是||外周血单核细胞中分离HIV||PCR法检测HIV核酸||ELISA法检测HIV抗原||ELISA法检测HIV抗体||Western Blot法检测HIV抗体||D
有关典型艾滋病期的描述,错误的是||病人血中CD4+ T细胞明显下降||病人血液中HIV载量降至较低水平||出现各种致命性机会感染||出现各种恶性肿瘤,如卡波西肉瘤等||如不治疗预后极差||B
HIV抗体阳性病人最具有传染性的是||粪便||尿液||唾液||汗液||血液||E
病毒核酸中具有长末端重复序列(LTR)的是||轮状病毒||柯萨奇病毒||HIV||HBV||腺病毒||C
有关HIV的特点,错误的是||是引起艾滋病的病原体||可通过性行为传播||主要感染表达CD4分子的细胞||不能通过胎盘传播||为中等大小的球形颗粒||D
研制HIV亚单位疫苗效果较好的成分是||p24||gp120||gp41||p7||gp17||B
关于AIDS的防治,错误的是||广泛宣传教育、普及预防知识||建立HIV感染的监测网,及时掌握疫情||对献血、献器官、献精液者必须作HIV抗体检测||禁止共用注射器、注射针、牙刷和剃须刀等||HIV抗体阳性妇女可以母乳喂养||E
世界"艾滋病日"是||3月24日||6月1日||7月28日||12月1日||12月12日||D
有关HIV抵抗力的描述,错误的是||0.5%次氯酸钠,或5%甲醛处理10~30分钟可灭活病毒||0.5%过氧乙酸,或70%乙醇处理10~30分钟可灭活病毒||高压灭菌121°C,20分钟可灭活病毒||煮沸100°C,20分钟可灭活病毒||对紫外线较敏感||E
男性,26岁,有吸毒史,近半年出现体重下降、腹泻、发热、反复出现口腔真菌感染等症状,HIV抗体初筛阳性,确诊是否HIV感染应进行如下检测||自病人血细胞分离HIV||RT-PCR检测HIV核酸载量||ELISA法检测HIV抗体||Wester Blot法检测HIV抗体||Western Blot法检测HIVp24抗原||D
患者男性,41岁。低热、消瘦、乏力10月余,腹胀、腹泻2周来就诊。有同性恋史。体检发现口腔毛状白斑、鹅口疮。为确定诊断首先应考虑做的检查是||全消化道锁餐造影||粪便培养检测致病菌||乙型肝炎病原学检查||血清HIV抗体检测||血清伤寒凝集反应检测||D
艾滋病患者,出现发热,咳嗽,胸闷、气促等肺部感染症状,首先应该想到的最常见病原体是||白假丝酵母菌||肺孢子菌||李斯特菌||巨细胞病毒||水症-带状疱疹病毒||B
成年男性,有不洁性生活史6月,为排除HIV感染,首选的检测是||ELISA法检测HIV抗体||Western Blot法检测HIV抗体||ELISA法检测HIVp24抗原||定量RT-CR测定病毒核酸||HIV分离培养||A
女性,36岁,有不洁性生活史,已确诊为AIDS患者。血液中CD4+ T淋巴细胞检测为320个/,接受抗逆转录酶病毒治疗应选择的最佳治疗方案为||选用一种核苷类逆转录酶抑制剂(核昔类药)||选用一种非核苷类逆转录酶抑制剂(非核昔类药)||联合应用2种核苷类药||联合应用2种核苷类药+1种非核苷类药||联合应用蛋白酶抑制剂+抗病毒中药制剂||D
HIV感染的初筛实验采用的方法是||外周血单个核细胞共培养法||血常规||尿常规||ELISA检查HIV抗体||Wester Blot检查HIV抗体||D
HIV感染的确证实验采用的方法是||外周血单个核细胞共培养法||血常规||尿常规||ELISA检查HIV抗体||Wester Blot检查HIV抗体||E
与HIV吸附有关的蛋白是||gp120||gp41||p24||p17||p7||A
构成HIV病毒颗粒的内膜蛋白是||gp120||gp41||p24||p17||p7||D
构成HIV病毒颗粒的衣壳蛋白是||gp120||gp41||p24||p17||p7||C
介导HIV胞膜与靶细胞膜融合的蛋白是||gp120||gp41||p24||p17||p7||B
引起AIDS,呈世界范围流行的是||HIV-1||HIV-2||HTLV-1||HTLV-2||HBV||A
引起成人T淋巴细胞白血病,主要流行于日本、印度和非洲等地区的是||HIV-1||HIV-2||HTLV-1||HTLV-2||HBV||C
引起毛细胞白血病的是||HIV-1||HIV-2||HTLV-1||HTLV-2||HBV||D
从接触HIV高危因素开始至体内产生抗体之前的时期称为||HIV感染者||AIDS||HIV感染窗口期||急性感染期||AIDS相关综合征||C
HIV抗体始终为阳性,但未出现明显的临床症状及体征称为||HIV感染者||AIDS||HIV感染窗口期||急性感染期||AIDS相关综合征||A
患者反复出现机会性感染及肿瘤称为||HIV感染者||AIDS||HIV感染窗口期||急性感染期||AIDS相关综合征||B

# 第三十三章 其他病毒
与子宫颈癌发生有关的病毒是||HAV||HSV-1||CMV||HBV||HPV||E
人被狂犬咬伤后,预防发病的最主要措施||杀犬取脑查包涵体||免疫血清局部浸润注射||立即清洗伤口||捕犬观察||注射狂犬病疫苗||E
我国狂犬病的主要传染源是||患病野兽||患者||病犬||吸血蝙蝠||牛、马、猪等家畜||C
狂犬病病毒属于||虫媒病毒||弹状病毒||丝状病毒||披膜病毒||正黏病毒||B
关于狂犬病病毒叙述正确的是||病死率低||在动物脑组织中感染均形成内基小体||病毒在末梢神经细胞内增殖||动物发病前5天内唾液中含有病毒||潜伏期短||D
感染宿主细胞易形成包涵体的病毒是||腺病毒||麻疹病毒||狂犬病病毒||流感病毒||巨细胞病毒||C
引起尖锐湿疣的病原体是||水痘带状疱疹病毒(VZV)||人乳头瘤病毒(HPV)||EB病毒(EBV)||人免疫缺陷病毒(HIV)||巨细胞病毒(CMV)||B
目前已在全世界灭绝的病毒是||脊髓灰质炎病毒||HBV||天花病毒||HIV||HSV||C
